7.3359770e+10 + -4.6159629e+03i
7.3727197e+10 + -8.4096309e+03i
7.4094625e+10 + -2.4052330e+04i
7.4462044e+10 + -1.7782250e+04i
7.4829414e+10 + 3.1822576e+03i
7.5196875e+10 + -1.4149950e+04i
7.5564270e+10 + -8.7424727e+03i
7.5931673e+10 + 5.0453335e+03i
7.6299084e+10 + -2.0359492e+03i
7.6666511e+10 + 9.1665527e+02i
7.7033914e+10 + 9.0801680e+03i
7.7401334e+10 + 1.3677473e+04i
7.7768770e+10 + 1.2167747e+04i
7.8136189e+10 + 2.5266746e+04i
7.8503608e+10 + 2.7527410e+04i
7.8870995e+10 + 5.2466945e+04i
7.9238365e+10 + -1.8205387e+04i
7.9605776e+10 + -2.1160289e+04i
7.9973188e+10 + -2.4778486e+04i
8.0340599e+10 + -1.3666182e+04i
8.0708002e+10 + 7.3103784e+03i
8.1075429e+10 + -1.5038178e+04i
8.1442865e+10 + 7.8290273e+03i
8.1810260e+10 + 8.6128906e+03i
8.2177663e+10 + 3.9670576e+03i
8.2545082e+10 + 1.7122477e+04i
8.2912494e+10 + 4.0576953e+03i
8.3279905e+10 + 2.1624873e+04i
8.3647332e+10 + 2.0956854e+04i
8.4014760e+10 + 2.2792227e+03i
8.4382155e+10 + 1.6204483e+04i
8.4749558e+10 + 2.0099350e+04i
8.5116928e+10 + 1.1326054e+04i
8.5484347e+10 + -2.6513525e+03i
8.5851767e+10 + -2.7266312e+04i
8.6219178e+10 + -8.7554570e+03i
8.6586589e+10 + -9.0496836e+03i
8.6954017e+10 + -2.6376844e+04i
8.7321412e+10 + -1.3839260e+04i
8.7688839e+10 + -1.3151994e+04i
8.8056242e+10 + -9.7419062e+03i
8.8423653e+10 + -9.6785996e+03i
8.8791056e+10 + 5.1099482e+03i
8.9158459e+10 + -8.7126514e+03i
8.9525912e+10 + 1.5371575e+04i
8.9893339e+10 + 1.8330840e+04i
9.0260718e+10 + 2.6343375e+04i
9.0628145e+10 + 4.2694543e+04i
9.0995532e+10 + -2.0964443e+04i
9.1362935e+10 + -5.8452793e+03i
9.1730346e+10 + -2.3003605e+04i
9.2097774e+10 + -2.4511654e+04i
9.2465168e+10 + -1.1186416e+03i
9.2832596e+10 + -2.1531758e+04i
9.3200007e+10 + -5.5708926e+04i
9.3567435e+10 + -1.0511541e+04i
9.3934838e+10 + -6.6394092e+03i
9.4302241e+10 + 1.5985243e+04i
9.4669644e+10 + 1.3327873e+04i
9.5037047e+10 + 1.7804033e+04i
9.5404507e+10 + 7.3921279e+03i
9.5771918e+10 + 2.1870566e+04i
9.6139321e+10 + 2.4544242e+04i
9.6506716e+10 + 3.7253828e+04i
9.6874086e+10 + -8.5944805e+03i
9.7241514e+10 + -1.1627312e+04i
9.7608933e+10 + -2.5835125e+04i
9.7976353e+10 + -2.3492186e+04i
9.8343731e+10 + -5.7468818e+03i
9.8711175e+10 + 1.0149872e+04i
9.9078578e+10 + -6.7059092e+03i
9.9445981e+10 + -5.4111562e+03i
9.9813384e+10 + -1.0933558e+04i
1.0018082e+11 + -2.7299824e+03i
1.0054821e+11 + -1.9887562e+04i
1.0091565e+11 + 2.1847344e+03i
1.0128307e+11 + -1.1142061e+04i
1.0165050e+11 + 2.5369842e+04i
1.0201790e+11 + 1.7075418e+04i
1.0238530e+11 + 3.7503805e+04i
1.0275267e+11 + -4.3724602e+04i
1.0312008e+11 + 8.2374521e+03i
1.0348751e+11 + -3.4340223e+04i
1.0385492e+11 + -2.3485213e+04i
1.0422231e+11 + -1.2322427e+03i
1.0458973e+11 + 8.6862500e+03i
1.0495717e+11 + -1.3435641e+04i
1.0532454e+11 + -2.5420914e+04i
1.0569199e+11 + -2.4144111e+03i
1.0605941e+11 + -4.4950303e+03i
1.0642677e+11 + 5.3362139e+03i
1.0679419e+11 + 1.2671395e+04i
1.0716165e+11 + 4.3716914e+03i
1.0752906e+11 + 9.1900049e+03i
1.0789647e+11 + 1.5236549e+04i
1.0826387e+11 + 2.4623176e+04i
1.0863126e+11 + 3.1036025e+03i
1.0899866e+11 + 1.0476536e+04i
1.0936608e+11 + -6.5680815e+03i
1.0973349e+11 + 7.4134160e+03i
1.1010091e+11 + 2.5991697e+04i
1.1046833e+11 + -7.5143203e+03i
1.1083574e+11 + 1.3416869e+03i
1.1120314e+11 + -7.3252734e+02i
1.1157057e+11 + 2.8916008e+04i
1.1193797e+11 + 2.2982840e+04i
1.1230536e+11 + 1.1859504e+04i
1.1267280e+11 + 1.8930367e+04i
1.1304021e+11 + 4.4695830e+03i
1.1340762e+11 + 1.2075220e+04i
1.1377503e+11 + 4.2631117e+04i
1.1414244e+11 + 2.6222676e+04i
1.1450984e+11 + -1.4289482e+04i
1.1487724e+11 + -1.4559672e+04i
1.1524466e+11 + -6.3092510e+03i
1.1561209e+11 + -6.8410903e+03i
1.1597948e+11 + -5.5994678e+03i
1.1634691e+11 + -7.2428281e+03i
1.1671433e+11 + -8.5875605e+03i
1.1708174e+11 + -1.3007438e+04i
1.1744915e+11 + 5.8658613e+03i
1.1781654e+11 + 1.2262608e+04i
1.1818395e+11 + -1.5908377e+04i
